beta value,method,allocation,deaths,disparity index,final dead,total infected
1.1424,No equity,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.1424,Nash Bargaining,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.1424,Min Max,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.1424,Lambda-penalized 0.033,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.1424,Lambda-penalized 0.067,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.1424,Lambda-penalized 0.1,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.1424,K-constrained 75%,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.1424,K-constrained 50%,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.1424,K-constrained 25%,"[10000, 10000]","[59074, 59074]",0.0,118148,1825433
1.428,No equity,"[14500, 5500]","[59119.075549927606, 61549.10400015487]",0.010069052418324983,120668,1860745
1.428,Nash Bargaining,"[10000, 10000]","[59381.844493075536, 61340.18570997887]",0.008110952133630472,120722,1861616
1.428,Min Max,"[0, 20000]","[60316.805765330064, 61033.42298346917]",0.0029526817770675166,121350,1870458
1.428,Lambda-penalized 0.033,"[9000, 11000]","[59449.502314465426, 61299.929742713924]",0.007662261414911882,120749,1862017
1.428,Lambda-penalized 0.067,"[3500, 16500]","[59897.568354530136, 61115.212973415226]",0.005031057899517512,121013,1865746
1.428,Lambda-penalized 0.1,"[0, 20000]","[60316.805765330064, 61033.42298346917]",0.0029526817770675166,121350,1870458
1.428,K-constrained 75%,"[4500, 15500]","[59804.625367372304, 61144.190447235625]",0.0055377354083260555,120949,1864849
1.428,K-constrained 50%,"[9500, 10500]","[59415.2212222715, 61319.7951064331]",0.007887413039214483,120735,1861807
1.428,K-constrained 25%,"[14500, 5500]","[59119.075549927606, 61549.10400015487]",0.010069052418324983,120668,1860745
1.7136,No equity,"[18500, 1500]","[59151.52097221717, 63009.73531485256]",0.015791481112345778,122161,1881371
1.7136,Nash Bargaining,"[10000, 10000]","[59586.563966739486, 62754.90041822946]",0.012948743369297284,122341,1884148
1.7136,Min Max,"[0, 20000]","[60460.397005480874, 62566.54662076866]",0.008559708764635243,123027,1893954
1.7136,Lambda-penalized 0.033,"[14000, 6000]","[59358.58701487911, 62861.11275549466]",0.014328810114883657,122220,1882338
1.7136,Lambda-penalized 0.067,"[7000, 13000]","[59790.70468625164, 62687.44643545542]",0.011825544893820587,122478,1886129
1.7136,Lambda-penalized 0.1,"[500, 19500]","[60383.61766942741, 62572.50382697974]",0.008901086545806045,122956,1892948
1.7136,K-constrained 75%,"[4500, 15500]","[59984.47674841507, 62637.21459208654]",0.010816756051362963,122622,1888187
1.7136,K-constrained 50%,"[9500, 10500]","[59618.291056785914, 62742.896703724815]",0.012767960593249878,122361,1884436
1.7136,K-constrained 25%,"[14500, 5500]","[59333.09313111629, 62875.795048526146]",0.014494452777453534,122209,1882172
1.9992,No equity,"[20000, 0]","[59246.17117706198, 63827.54095085221]",0.018612300281593355,123074,1893915
1.9992,Nash Bargaining,"[10500, 9500]","[59698.71933693163, 63647.686278593595]",0.016007628766950145,123346,1898000
1.9992,Min Max,"[0, 20000]","[60554.56746251138, 63525.12723655948]",0.011970370257811168,124080,1908561
1.9992,Lambda-penalized 0.033,"[19000, 1000]","[59284.288402660444, 63799.89927918003]",0.018343586457230217,123084,1894097
1.9992,Lambda-penalized 0.067,"[12000, 8000]","[59613.6198120349, 63670.35187401049]",0.01645279595755746,123284,1897088
1.9992,Lambda-penalized 0.1,"[1500, 18500]","[60372.316441487186, 63538.08233375702]",0.01277441572120222,123910,1906132
1.9992,K-constrained 75%,"[4500, 15500]","[60106.506712783535, 63569.561233360626]",0.014000503808404986,123676,1902766
1.9992,K-constrained 50%,"[9500, 10500]","[59758.7315654687, 63633.29784507095]",0.01570022917246591,123392,1898664
1.9992,K-constrained 25%,"[15000, 5000]","[59459.51414869096, 63720.02769706994]",0.017293917011453795,123180,1895548
2.2848,No equity,"[20000, 0]","[59360.6740857664, 64310.097267637604]",0.020010480761568306,123671,1902094
2.2848,Nash Bargaining,"[10500, 9500]","[59802.65576823276, 64204.04052213665]",0.01774656081312647,124007,1907038
2.2848,Min Max,"[0, 20000]","[60618.46007705812, 64128.616248715465]",0.014069091938037376,124747,1917733
2.2848,Lambda-penalized 0.033,"[20000, 0]","[59360.6740857664, 64310.097267637604]",0.020010480761568306,123671,1902094
2.2848,Lambda-penalized 0.067,"[17500, 2500]","[59460.0841163745, 64274.927894662374]",0.019456270703147475,123735,1903062
2.2848,Lambda-penalized 0.1,"[5000, 15000]","[60155.6291300053, 64160.09740978629]",0.01610604060822194,124316,1911510
2.2848,K-constrained 75%,"[4500, 15500]","[60192.85209030251, 64156.54304432241]",0.01593771706620957,124349,1911996
2.2848,K-constrained 50%,"[9500, 10500]","[59860.35048263245, 64195.386089511136]",0.017472128765112293,124056,1907749
2.2848,K-constrained 25%,"[15000, 5000]","[59571.18387211859, 64247.127153976915]",0.01888227695527537,123818,1904290
